item,total_messages,observed_updates_per_sec,repeated_value_percent,average_time_delta_between_updates,min,max,total_runtime_seconds
USLAB000058,1,0.083258,0.00,,754.916626,754.916626,12.011
USLAB000059,1,0.083258,0.00,,23.386196,23.386196,12.011
USLAB000055,1,0.083258,0.00,,2.432512,2.432512,12.011
NODE3000012,3,0.249774,0.00,3.883322,17.106964,17.169859,12.011
NODE3000013,1,0.083258,0.00,,4.375000,4.375000,12.011
S1000003,6,0.499549,0.00,1.779254,3.826847,3.889419,12.011
P1000003,1,0.083258,0.00,,4.389997,4.389997,12.011
S0000001,1,0.083258,0.00,,-29.967041,-29.967041,12.011
S0000002,3,0.249774,0.00,1.458765,14.846187,14.851680,12.011
S0000004,12,0.999097,0.00,0.966867,16.766983,17.492081,12.011
Z1000009,1,0.083258,0.00,,6601.000000,6601.000000,12.011
Z1000005,2,0.166516,0.00,3.036134,0.586426,0.593750,12.011
NODE3000005,1,0.083258,0.00,,27.000000,27.000000,12.011
